@attribute a,b,c,d,e,f,g,h
pontiac_firebird,19.0,6,250.0,100.0,3282.0,15.0,71,1
ford_mustang,18.0,6,250.0,88.00,3139.0,14.5,71,1
mercury_capri_2000,23.0,4,122.0,86.00,2220.0,14.0,71,1
opel_1900,28.0,4,116.0,90.00,2123.0,14.0,71,2
peugeot_304,30.0,4,79.00,70.00,2074.0,19.5,71,2
fiat_124b,30.0,4,88.00,76.00,2065.0,14.5,71,2
toyota_corolla_1200,31.0,4,71.00,65.00,1773.0,19.0,71,3
datsun_1200,35.0,4,72.00,69.00,1613.0,18.0,71,3
volkswagen_model_111,27.0,4,97.00,60.00,1834.0,19.0,71,2
plymouth_cricket,26.0,4,91.00,70.00,1955.0,20.5,71,1
toyota_corona_hardtop,24.0,4,113.0,95.00,2278.0,15.5,72,3
dodge_colt_hardtop,25.0,4,97.50,80.00,2126.0,17.0,72,1
volkswagen_type_3,23.0,4,97.00,54.00,2254.0,23.5,72,2
chevrolet_vega,20.0,4,140.0,90.00,2408.0,19.5,72,1
ford_pinto_runabout,21.0,4,122.0,86.00,2226.0,16.5,72,1
chevrolet_impala,13.0,8,350.0,165.0,4274.0,12.0,72,1
pontiac_catalina,14.0,8,400.0,175.0,4385.0,12.0,72,1
plymouth_fury_iii,15.0,8,318.0,150.0,4135.0,13.5,72,1
ford_galaxie_500,14.0,8,351.0,153.0,4129.0,13.0,72,1
amc_ambassador_sst,17.0,8,304.0,150.0,3672.0,11.5,72,1
mercury_marquis,11.0,8,429.0,208.0,4633.0,11.0,72,1
buick_lesabre_custom,13.0,8,350.0,155.0,4502.0,13.5,72,1
oldsmobile_delta_88_royale,12.0,8,350.0,160.0,4456.0,13.5,72,1
chrysler_newport_royal,13.0,8,400.0,190.0,4422.0,12.5,72,1
mazda_rx2_coupe,19.0,3,70.00,97.00,2330.0,13.5,72,3
amc_matador_(sw),15.0,8,304.0,150.0,3892.0,12.5,72,1
chevrolet_chevelle_concours_(sw),13.0,8,307.0,130.0,4098.0,14.0,72,1
ford_gran_torino_(sw),13.0,8,302.0,140.0,4294.0,16.0,72,1
plymouth_satellite_custom_(sw),14.0,8,318.0,150.0,4077.0,14.0,72,1
volvo_145e_(sw),18.0,4,121.0,112.0,2933.0,14.5,72,2
volkswagen_411_(sw),22.0,4,121.0,76.00,2511.0,18.0,72,2
peugeot_504_(sw),21.0,4,120.0,87.00,2979.0,19.5,72,2
renault_12_(sw),26.0,4,96.00,69.00,2189.0,18.0,72,2
ford_pinto_(sw),22.0,4,122.0,86.00,2395.0,16.0,72,1
datsun_510_(sw),28.0,4,97.00,92.00,2288.0,17.0,72,3
toyouta_corona_mark_ii_(sw),23.0,4,120.0,97.00,2506.0,14.5,72,3
dodge_colt_(sw),28.0,4,98.00,80.00,2164.0,15.0,72,1
toyota_corolla_1600_(sw),27.0,4,97.00,88.00,2100.0,16.5,72,3
buick_century_350,13.0,8,350.0,175.0,4100.0,13.0,73,1
amc_matador,14.0,8,304.0,150.0,3672.0,11.5,73,1
chevrolet_malibu,13.0,8,350.0,145.0,3988.0,13.0,73,1
ford_gran_torino,14.0,8,302.0,137.0,4042.0,14.5,73,1
dodge_coronet_custom,15.0,8,318.0,150.0,3777.0,12.5,73,1
mercury_marquis_brougham,12.0,8,429.0,198.0,4952.0,11.5,73,1
chevrolet_caprice_classic,13.0,8,400.0,150.0,4464.0,12.0,73,1
ford_ltd,13.0,8,351.0,158.0,4363.0,13.0,73,1
plymouth_fury_gran_sedan,14.0,8,318.0,150.0,4237.0,14.5,73,1
chrysler_new_yorker_brougham,13.0,8,440.0,215.0,4735.0,11.0,73,1
buick_electra_225_custom,12.0,8,455.0,225.0,4951.0,11.0,73,1
amc_ambassador_brougham,13.0,8,360.0,175.0,3821.0,11.0,73,1
plymouth_valiant,18.0,6,225.0,105.0,3121.0,16.5,73,1
chevrolet_nova_custom,16.0,6,250.0,100.0,3278.0,18.0,73,1
amc_hornet,18.0,6,232.0,100.0,2945.0,16.0,73,1
ford_maverick,18.0,6,250.0,88.00,3021.0,16.5,73,1
plymouth_duster,23.0,6,198.0,95.00,2904.0,16.0,73,1
volkswagen_super_beetle,26.0,4,97.00,46.00,1950.0,21.0,73,2
chevrolet_impala,11.0,8,400.0,150.0,4997.0,14.0,73,1
ford_country,12.0,8,400.0,167.0,4906.0,12.5,73,1
plymouth_custom_suburb,13.0,8,360.0,170.0,4654.0,13.0,73,1
oldsmobile_vista_cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,1
amc_gremlin,18.0,6,232.0,100.0,2789.0,15.0,73,1
toyota_carina,20.0,4,97.00,88.00,2279.0,19.0,73,3
chevrolet_vega,21.0,4,140.0,72.00,2401.0,19.5,73,1
datsun_610,22.0,4,108.0,94.00,2379.0,16.5,73,3
maxda_rx3,18.0,3,70.00,90.00,2124.0,13.5,73,3
ford_pinto,19.0,4,122.0,85.00,2310.0,18.5,73,1
mercury_capri_v6,21.0,6,155.0,107.0,2472.0,14.0,73,1
fiat_124_sport_coupe,26.0,4,98.00,90.00,2265.0,15.5,73,2
chevrolet_monte_carlo_s,15.0,8,350.0,145.0,4082.0,13.0,73,1
pontiac_grand_prix,16.0,8,400.0,230.0,4278.0,9.50,73,1
fiat_128,29.0,4,68.00,49.00,1867.0,19.5,73,2
opel_manta,24.0,4,116.0,75.00,2158.0,15.5,73,2
audi_100ls,20.0,4,114.0,91.00,2582.0,14.0,73,2
volvo_144ea,19.0,4,121.0,112.0,2868.0,15.5,73,2
dodge_dart_custom,15.0,8,318.0,150.0,3399.0,11.0,73,1
saab_99le,24.0,4,121.0,110.0,2660.0,14.0,73,2
toyota_mark_ii,20.0,6,156.0,122.0,2807.0,13.5,73,3
oldsmobile_omega,11.0,8,350.0,180.0,3664.0,11.0,73,1
plymouth_duster,20.0,6,198.0,95.00,3102.0,16.5,74,1
amc_hornet,19.0,6,232.0,100.0,2901.0,16.0,74,1
chevrolet_nova,15.0,6,250.0,100.0,3336.0,17.0,74,1
datsun_b210,31.0,4,79.00,67.00,1950.0,19.0,74,3
ford_pinto,26.0,4,122.0,80.00,2451.0,16.5,74,1
toyota_corolla_1200,32.0,4,71.00,65.00,1836.0,21.0,74,3
chevrolet_vega,25.0,4,140.0,75.00,2542.0,17.0,74,1
chevrolet_chevelle_malibu_classic,16.0,6,250.0,100.0,3781.0,17.0,74,1
amc_matador,16.0,6,258.0,110.0,3632.0,18.0,74,1
plymouth_satellite_sebring,18.0,6,225.0,105.0,3613.0,16.5,74,1
ford_gran_torino,16.0,8,302.0,140.0,4141.0,14.0,74,1
buick_century_luxus_(sw),13.0,8,350.0,150.0,4699.0,14.5,74,1
dodge_coronet_custom_(sw),14.0,8,318.0,150.0,4457.0,13.5,74,1
ford_gran_torino_(sw),14.0,8,302.0,140.0,4638.0,16.0,74,1
amc_matador_(sw),14.0,8,304.0,150.0,4257.0,15.5,74,1
audi_fox,29.0,4,98.00,83.00,2219.0,16.5,74,2
volkswagen_dasher,26.0,4,79.00,67.00,1963.0,15.5,74,2
opel_manta,26.0,4,97.00,78.00,2300.0,14.5,74,2
toyota_corona,31.0,4,76.00,52.00,1649.0,16.5,74,3
datsun_710,32.0,4,83.00,61.00,2003.0,19.0,74,3
dodge_colt,28.0,4,90.00,75.00,2125.0,14.5,74,1
fiat_128,24.0,4,90.00,75.00,2108.0,15.5,74,2
fiat_124_tc,26.0,4,116.0,75.00,2246.0,14.0,74,2
honda_civic,24.0,4,120.0,97.00,2489.0,15.0,74,3
subaru,26.0,4,108.0,93.00,2391.0,15.5,74,3
fiat_x1.9,31.0,4,79.00,67.00,2000.0,16.0,74,2
plymouth_valiant_custom,19.0,6,225.0,95.00,3264.0,16.0,75,1
chevrolet_nova,18.0,6,250.0,105.0,3459.0,16.0,75,1
mercury_monarch,15.0,6,250.0,72.00,3432.0,21.0,75,1
ford_maverick,15.0,6,250.0,72.00,3158.0,19.5,75,1
pontiac_catalina,16.0,8,400.0,170.0,4668.0,11.5,75,1
chevrolet_bel_air,15.0,8,350.0,145.0,4440.0,14.0,75,1
plymouth_grand_fury,16.0,8,318.0,150.0,4498.0,14.5,75,1
ford_ltd,14.0,8,351.0,148.0,4657.0,13.5,75,1
buick_century,17.0,6,231.0,110.0,3907.0,21.0,75,1
chevroelt_chevelle_malibu,16.0,6,250.0,105.0,3897.0,18.5,75,1
amc_matador,15.0,6,258.0,110.0,3730.0,19.0,75,1
plymouth_fury,18.0,6,225.0,95.00,3785.0,19.0,75,1
buick_skyhawk,21.0,6,231.0,110.0,3039.0,15.0,75,1
chevrolet_monza_2+2,20.0,8,262.0,110.0,3221.0,13.5,75,1
ford_mustang_ii,13.0,8,302.0,129.0,3169.0,12.0,75,1
toyota_corolla,29.0,4,97.00,75.00,2171.0,16.0,75,3
ford_pinto,23.0,4,140.0,83.00,2639.0,17.0,75,1
amc_gremlin,20.0,6,232.0,100.0,2914.0,16.0,75,1
pontiac_astro,23.0,4,140.0,78.00,2592.0,18.5,75,1
toyota_corona,24.0,4,134.0,96.00,2702.0,13.5,75,3
volkswagen_dasher,25.0,4,90.00,71.00,2223.0,16.5,75,2
datsun_710,24.0,4,119.0,97.00,2545.0,17.0,75,3
ford_pinto,18.0,6,171.0,97.00,2984.0,14.5,75,1
volkswagen_rabbit,29.0,4,90.00,70.00,1937.0,14.0,75,2
amc_pacer,19.0,6,232.0,90.00,3211.0,17.0,75,1
audi_100ls,23.0,4,115.0,95.00,2694.0,15.0,75,2
peugeot_504,23.0,4,120.0,88.00,2957.0,17.0,75,2
volvo_244dl,22.0,4,121.0,98.00,2945.0,14.5,75,2
saab_99le,25.0,4,121.0,115.0,2671.0,13.5,75,2
honda_civic_cvcc,33.0,4,91.00,53.00,1795.0,17.5,75,3
fiat_131,28.0,4,107.0,86.00,2464.0,15.5,76,2
opel_1900,25.0,4,116.0,81.00,2220.0,16.9,76,2
capri_ii,25.0,4,140.0,92.00,2572.0,14.9,76,1
dodge_colt,26.0,4,98.00,79.00,2255.0,17.7,76,1
renault_12tl,27.0,4,101.0,83.00,2202.0,15.3,76,2
chevrolet_chevelle_malibu_classic,17.5,8,305.0,140.0,4215.0,13.0,76,1
dodge_coronet_brougham,16.0,8,318.0,150.0,4190.0,13.0,76,1
amc_matador,15.5,8,304.0,120.0,3962.0,13.9,76,1
ford_gran_torino,14.5,8,351.0,152.0,4215.0,12.8,76,1
plymouth_valiant,22.0,6,225.0,100.0,3233.0,15.4,76,1
chevrolet_nova,22.0,6,250.0,105.0,3353.0,14.5,76,1
ford_maverick,24.0,6,200.0,81.00,3012.0,17.6,76,1
amc_hornet,22.5,6,232.0,90.00,3085.0,17.6,76,1
chevrolet_chevette,29.0,4,85.00,52.00,2035.0,22.2,76,1
chevrolet_woody,24.5,4,98.00,60.00,2164.0,22.1,76,1
vw_rabbit,29.0,4,90.00,70.00,1937.0,14.2,76,2
honda_civic,33.0,4,91.00,53.00,1795.0,17.4,76,3
dodge_aspen_se,20.0,6,225.0,100.0,3651.0,17.7,76,1
ford_granada_ghia,18.0,6,250.0,78.00,3574.0,21.0,76,1
pontiac_ventura_sj,18.5,6,250.0,110.0,3645.0,16.2,76,1
amc_pacer_d/l,17.5,6,258.0,95.00,3193.0,17.8,76,1
volkswagen_rabbit,29.5,4,97.00,71.00,1825.0,12.2,76,2
datsun_b-210,32.0,4,85.00,70.00,1990.0,17.0,76,3
toyota_corolla,28.0,4,97.00,75.00,2155.0,16.4,76,3
ford_pinto,26.5,4,140.0,72.00,2565.0,13.6,76,1
volvo_245,20.0,4,130.0,102.0,3150.0,15.7,76,2
plymouth_volare_premier_v8,13.0,8,318.0,150.0,3940.0,13.2,76,1
peugeot_504,19.0,4,120.0,88.00,3270.0,21.9,76,2
toyota_mark_ii,19.0,6,156.0,108.0,2930.0,15.5,76,3
mercedes-benz_280s,16.5,6,168.0,120.0,3820.0,16.7,76,2
cadillac_seville,16.5,8,350.0,180.0,4380.0,12.1,76,1
chevy_c10,13.0,8,350.0,145.0,4055.0,12.0,76,1
ford_f108,13.0,8,302.0,130.0,3870.0,15.0,76,1
dodge_d100,13.0,8,318.0,150.0,3755.0,14.0,76,1
honda_accord_cvcc,31.5,4,98.00,68.00,2045.0,18.5,77,3
buick_opel_isuzu_deluxe,30.0,4,111.0,80.00,2155.0,14.8,77,1
renault_5_gtl,36.0,4,79.00,58.00,1825.0,18.6,77,2
plymouth_arrow_gs,25.5,4,122.0,96.00,2300.0,15.5,77,1
datsun_f-10_hatchback,33.5,4,85.00,70.00,1945.0,16.8,77,3
chevrolet_caprice_classic,17.5,8,305.0,145.0,3880.0,12.5,77,1
oldsmobile_cutlass_supreme,17.0,8,260.0,110.0,4060.0,19.0,77,1
dodge_monaco_brougham,15.5,8,318.0,145.0,4140.0,13.7,77,1
mercury_cougar_brougham,15.0,8,302.0,130.0,4295.0,14.9,77,1
chevrolet_concours,17.5,6,250.0,110.0,3520.0,16.4,77,1
buick_skylark,20.5,6,231.0,105.0,3425.0,16.9,77,1
plymouth_volare_custom,19.0,6,225.0,100.0,3630.0,17.7,77,1
ford_granada,18.5,6,250.0,98.00,3525.0,19.0,77,1
pontiac_grand_prix_lj,16.0,8,400.0,180.0,4220.0,11.1,77,1
chevrolet_monte_carlo_landau,15.5,8,350.0,170.0,4165.0,11.4,77,1
chrysler_cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,1
ford_thunderbird,16.0,8,351.0,149.0,4335.0,14.5,77,1
volkswagen_rabbit_custom,29.0,4,97.00,78.00,1940.0,14.5,77,2
pontiac_sunbird_coupe,24.5,4,151.0,88.00,2740.0,16.0,77,1
toyota_corolla_liftback,26.0,4,97.00,75.00,2265.0,18.2,77,3
ford_mustang_ii_2+2,25.5,4,140.0,89.00,2755.0,15.8,77,1
chevrolet_chevette,30.5,4,98.00,63.00,2051.0,17.0,77,1
dodge_colt_m/m,33.5,4,98.00,83.00,2075.0,15.9,77,1
subaru_dl,30.0,4,97.00,67.00,1985.0,16.4,77,3
volkswagen_dasher,30.5,4,97.00,78.00,2190.0,14.1,77,2
datsun_810,22.0,6,146.0,97.00,2815.0,14.5,77,3
bmw_320i,21.5,4,121.0,110.0,2600.0,12.8,77,2
mazda_rx-4,21.5,3,80.00,110.0,2720.0,13.5,77,3
volkswagen_rabbit_custom_diesel,43.1,4,90.00,48.00,1985.0,21.5,78,2
ford_fiesta,36.1,4,98.00,66.00,1800.0,14.4,78,1
mazda_glc_deluxe,32.8,4,78.00,52.00,1985.0,19.4,78,3
datsun_b210_gx,39.4,4,85.00,70.00,2070.0,18.6,78,3
honda_civic_cvcc,36.1,4,91.00,60.00,1800.0,16.4,78,3
oldsmobile_cutlass_salon_brougham,19.9,8,260.0,110.0,3365.0,15.5,78,1
dodge_diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,1
mercury_monarch_ghia,20.2,8,302.0,139.0,3570.0,12.8,78,1
pontiac_phoenix_lj,19.2,6,231.0,105.0,3535.0,19.2,78,1
chevrolet_malibu,20.5,6,200.0,95.00,3155.0,18.2,78,1
ford_fairmont_(auto),20.2,6,200.0,85.00,2965.0,15.8,78,1
ford_fairmont_(man),25.1,4,140.0,88.00,2720.0,15.4,78,1
plymouth_volare,20.5,6,225.0,100.0,3430.0,17.2,78,1
amc_concord,19.4,6,232.0,90.00,3210.0,17.2,78,1
buick_century_special,20.6,6,231.0,105.0,3380.0,15.8,78,1
mercury_zephyr,20.8,6,200.0,85.00,3070.0,16.7,78,1
dodge_aspen,18.6,6,225.0,110.0,3620.0,18.7,78,1
amc_concord_d/l,18.1,6,258.0,120.0,3410.0,15.1,78,1
chevrolet_monte_carlo_landau,19.2,8,305.0,145.0,3425.0,13.2,78,1
buick_regal_sport_coupe_(turbo),17.7,6,231.0,165.0,3445.0,13.4,78,1
ford_futura,18.1,8,302.0,139.0,3205.0,11.2,78,1
dodge_magnum_xe,17.5,8,318.0,140.0,4080.0,13.7,78,1
chevrolet_chevette,30.0,4,98.00,68.00,2155.0,16.5,78,1
toyota_corona,27.5,4,134.0,95.00,2560.0,14.2,78,3
datsun_510,27.2,4,119.0,97.00,2300.0,14.7,78,3
dodge_omni,30.9,4,105.0,75.00,2230.0,14.5,78,1
toyota_celica_gt_liftback,21.1,4,134.0,95.00,2515.0,14.8,78,3
plymouth_sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,1
oldsmobile_starfire_sx,23.8,4,151.0,85.00,2855.0,17.6,78,1
datsun_200-sx,23.9,4,119.0,97.00,2405.0,14.9,78,3
audi_5000,20.3,5,131.0,103.0,2830.0,15.9,78,2
volvo_264gl,17.0,6,163.0,125.0,3140.0,13.6,78,2
saab_99gle,21.6,4,121.0,115.0,2795.0,15.7,78,2
peugeot_604sl,16.2,6,163.0,133.0,3410.0,15.8,78,2
volkswagen_scirocco,31.5,4,89.00,71.00,1990.0,14.9,78,2
honda_accord_lx,29.5,4,98.00,68.00,2135.0,16.6,78,3
pontiac_lemans_v6,21.5,6,231.0,115.0,3245.0,15.4,79,1
mercury_zephyr_6,19.8,6,200.0,85.00,2990.0,18.2,79,1
ford_fairmont_4,22.3,4,140.0,88.00,2890.0,17.3,79,1
amc_concord_dl_6,20.2,6,232.0,90.00,3265.0,18.2,79,1
dodge_aspen_6,20.6,6,225.0,110.0,3360.0,16.6,79,1
chevrolet_caprice_classic,17.0,8,305.0,130.0,3840.0,15.4,79,1
ford_ltd_landau,17.6,8,302.0,129.0,3725.0,13.4,79,1
mercury_grand_marquis,16.5,8,351.0,138.0,3955.0,13.2,79,1
dodge_st._regis,18.2,8,318.0,135.0,3830.0,15.2,79,1
buick_estate_wagon_(sw),16.9,8,350.0,155.0,4360.0,14.9,79,1
ford_country_squire_(sw),15.5,8,351.0,142.0,4054.0,14.3,79,1
chevrolet_malibu_classic_(sw),19.2,8,267.0,125.0,3605.0,15.0,79,1
chrysler_lebaron_town_@_country_(sw),18.5,8,360.0,150.0,3940.0,13.0,79,1
vw_rabbit_custom,31.9,4,89.00,71.00,1925.0,14.0,79,2
maxda_glc_deluxe,34.1,4,86.00,65.00,1975.0,15.2,79,3
dodge_colt_hatchback_custom,35.7,4,98.00,80.00,1915.0,14.4,79,1
amc_spirit_dl,27.4,4,121.0,80.00,2670.0,15.0,79,1
mercedes_benz_300d,25.4,5,183.0,77.00,3530.0,20.1,79,2
cadillac_eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,1
peugeot_504,27.2,4,141.0,71.00,3190.0,24.8,79,2
oldsmobile_cutlass_salon_brougham,23.9,8,260.0,90.00,3420.0,22.2,79,1
plymouth_horizon,34.2,4,105.0,70.00,2200.0,13.2,79,1
plymouth_horizon_tc3,34.5,4,105.0,70.00,2150.0,14.9,79,1
datsun_210,31.8,4,85.00,65.00,2020.0,19.2,79,3
fiat_strada_custom,37.3,4,91.00,69.00,2130.0,14.7,79,2
buick_skylark_limited,28.4,4,151.0,90.00,2670.0,16.0,79,1
chevrolet_citation,28.8,6,173.0,115.0,2595.0,11.3,79,1
oldsmobile_omega_brougham,26.8,6,173.0,115.0,2700.0,12.9,79,1
pontiac_phoenix,33.5,4,151.0,90.00,2556.0,13.2,79,1
vw_rabbit,41.5,4,98.00,76.00,2144.0,14.7,80,2
toyota_corolla_tercel,38.1,4,89.00,60.00,1968.0,18.8,80,3
chevrolet_chevette,32.1,4,98.00,70.00,2120.0,15.5,80,1
datsun_310,37.2,4,86.00,65.00,2019.0,16.4,80,3
chevrolet_citation,28.0,4,151.0,90.00,2678.0,16.5,80,1
ford_fairmont,26.4,4,140.0,88.00,2870.0,18.1,80,1
amc_concord,24.3,4,151.0,90.00,3003.0,20.1,80,1
dodge_aspen,19.1,6,225.0,90.00,3381.0,18.7,80,1
audi_4000,34.3,4,97.00,78.00,2188.0,15.8,80,2
toyota_corona_liftback,29.8,4,134.0,90.00,2711.0,15.5,80,3
mazda_626,31.3,4,120.0,75.00,2542.0,17.5,80,3
datsun_510_hatchback,37.0,4,119.0,92.00,2434.0,15.0,80,3
toyota_corolla,32.2,4,108.0,75.00,2265.0,15.2,80,3
mazda_glc,46.6,4,86.00,65.00,2110.0,17.9,80,3
dodge_colt,27.9,4,156.0,105.0,2800.0,14.4,80,1
datsun_210,40.8,4,85.00,65.00,2110.0,19.2,80,3
vw_rabbit_c_(diesel),44.3,4,90.00,48.00,2085.0,21.7,80,2
vw_dasher_(diesel),43.4,4,90.00,48.00,2335.0,23.7,80,2
audi_5000s_(diesel),36.4,5,121.0,67.00,2950.0,19.9,80,2
mercedes-benz_240d,30.0,4,146.0,67.00,3250.0,21.8,80,2
honda_civic_1500_gl,44.6,4,91.00,67.00,1850.0,13.8,80,3
subaru_dl,33.8,4,97.00,67.00,2145.0,18.0,80,3
vokswagen_rabbit,29.8,4,89.00,62.00,1845.0,15.3,80,2
datsun_280-zx,32.7,6,168.0,132.0,2910.0,11.4,80,3
mazda_rx-7_gs,23.7,3,70.00,100.0,2420.0,12.5,80,3
triumph_tr7_coupe,35.0,4,122.0,88.00,2500.0,15.1,80,2
honda_accord,32.4,4,107.0,72.00,2290.0,17.0,80,3
plymouth_reliant,27.2,4,135.0,84.00,2490.0,15.7,81,1
buick_skylark,26.6,4,151.0,84.00,2635.0,16.4,81,1
dodge_aries_wagon_(sw),25.8,4,156.0,92.00,2620.0,14.4,81,1
chevrolet_citation,23.5,6,173.0,110.0,2725.0,12.6,81,1
plymouth_reliant,30.0,4,135.0,84.00,2385.0,12.9,81,1
toyota_starlet,39.1,4,79.00,58.00,1755.0,16.9,81,3
plymouth_champ,39.0,4,86.00,64.00,1875.0,16.4,81,1
honda_civic_1300,35.1,4,81.00,60.00,1760.0,16.1,81,3
subaru,32.3,4,97.00,67.00,2065.0,17.8,81,3
datsun_210_mpg,37.0,4,85.00,65.00,1975.0,19.4,81,3
toyota_tercel,37.7,4,89.00,62.00,2050.0,17.3,81,3
mazda_glc_4,34.1,4,91.00,68.00,1985.0,16.0,81,3
plymouth_horizon_4,34.7,4,105.0,63.00,2215.0,14.9,81,1
ford_escort_4w,34.4,4,98.00,65.00,2045.0,16.2,81,1
ford_escort_2h,29.9,4,98.00,65.00,2380.0,20.7,81,1
volkswagen_jetta,33.0,4,105.0,74.00,2190.0,14.2,81,2
honda_prelude,33.7,4,107.0,75.00,2210.0,14.4,81,3
toyota_corolla,32.4,4,108.0,75.00,2350.0,16.8,81,3
datsun_200sx,32.9,4,119.0,100.0,2615.0,14.8,81,3
mazda_626,31.6,4,120.0,74.00,2635.0,18.3,81,3
peugeot_505s_turbo_diesel,28.1,4,141.0,80.00,3230.0,20.4,81,2
volvo_diesel,30.7,6,145.0,76.00,3160.0,19.6,81,2
toyota_cressida,25.4,6,168.0,116.0,2900.0,12.6,81,3
datsun_810_maxima,24.2,6,146.0,120.0,2930.0,13.8,81,3
buick_century,22.4,6,231.0,110.0,3415.0,15.8,81,1
oldsmobile_cutlass_ls,26.6,8,350.0,105.0,3725.0,19.0,81,1
ford_granada_gl,20.2,6,200.0,88.00,3060.0,17.1,81,1
chrysler_lebaron_salon,17.6,6,225.0,85.00,3465.0,16.6,81,1
chevrolet_cavalier,28.0,4,112.0,88.00,2605.0,19.6,82,1
chevrolet_cavalier_wagon,27.0,4,112.0,88.00,2640.0,18.6,82,1
chevrolet_cavalier_2-door,34.0,4,112.0,88.00,2395.0,18.0,82,1
pontiac_j2000_se_hatchback,31.0,4,112.0,85.00,2575.0,16.2,82,1
dodge_aries_se,29.0,4,135.0,84.00,2525.0,16.0,82,1
pontiac_phoenix,27.0,4,151.0,90.00,2735.0,18.0,82,1
ford_fairmont_futura,24.0,4,140.0,92.00,2865.0,16.4,82,1
volkswagen_rabbit_l,36.0,4,105.0,74.00,1980.0,15.3,82,2
mazda_glc_custom_l,37.0,4,91.00,68.00,2025.0,18.2,82,3
mazda_glc_custom,31.0,4,91.00,68.00,1970.0,17.6,82,3
plymouth_horizon_miser,38.0,4,105.0,63.00,2125.0,14.7,82,1
mercury_lynx_l,36.0,4,98.00,70.00,2125.0,17.3,82,1
nissan_stanza_xe,36.0,4,120.0,88.00,2160.0,14.5,82,3
honda_accord,36.0,4,107.0,75.00,2205.0,14.5,82,3
toyota_corolla,34.0,4,108.0,70.00,2245,16.9,82,3
honda_civic,38.0,4,91.00,67.00,1965.0,15.0,82,3
